City or municipality,Province,Class
Daanbantayan,Cebu,Mun
Dalaguete,Cebu,Mun
Danao,Cebu,CC
Dumanjug,Cebu,Mun
Ginatilan,Cebu,Mun
Lapu-Lapu,Cebu,HUC
Liloan,Cebu,Mun
Madridejos,Cebu,Mun
Malabuyoc,Cebu,Mun
Mandaue,Cebu,HUC
Medellin,Cebu,Mun
Minglanilla,Cebu,Mun
Moalboal,Cebu,Mun
Naga,Cebu,CC
Oslob,Cebu,Mun
Pilar,Cebu,Mun
Pinamungajan,Cebu,Mun
Poro,Cebu,Mun
Ronda,Cebu,Mun
Samboan,Cebu,Mun
San Fernando,Cebu,Mun
San Francisco,Cebu,Mun
San Remigio,Cebu,Mun
Santa Fe,Cebu,Mun
Santander,Cebu,Mun
Sibonga,Cebu,Mun
Sogod,Cebu,Mun
Tabogon,Cebu,Mun
Tabuelan,Cebu,Mun
Talisay,Cebu,CC
Toledo,Cebu,CC
Tuburan,Cebu,Mun
Tudela,Cebu,Mun
Alamada,Cotabato,Mun
Aleosan,Cotabato,Mun
Antipas,Cotabato,Mun
Arakan,Cotabato,Mun
Banisilan,Cotabato,Mun
Carmen,Cotabato,Mun
Kabacan,Cotabato,Mun
Kidapawan*,Cotabato,CC
Libungan,Cotabato,Mun
M'lang,Cotabato,Mun
Magpet,Cotabato,Mun
Makilala,Cotabato,Mun
Matalam,Cotabato,Mun
Midsayap,Cotabato,Mun
Pigcawayan,Cotabato,Mun
Pikit,Cotabato,Mun
President Roxas,Cotabato,Mun
Tulunan,Cotabato,Mun
Compostela,Davao de Oro,Mun
Laak,Davao de Oro,Mun
Mabini,Davao de Oro,Mun
Maco,Davao de Oro,Mun
Maragusan,Davao de Oro,Mun
Mawab,Davao de Oro,Mun
Monkayo*,Davao de Oro,Mun
Montevista,Davao de Oro,Mun
Nabunturan,Davao de Oro,Mun
New Bataan,Davao de Oro,Mun
Pantukan,Davao de Oro,Mun
Asuncion,Davao del Norte,Mun
Braulio E. Dujali,Davao del Norte,Mun
Carmen,Davao del Norte,Mun
Kapalong,Davao del Norte,Mun
New Corella,Davao del Norte,Mun
Panabo,Davao del Norte,CC
Samal,Davao del Norte,CC
San Isidro,Davao del Norte,Mun
Santo Tomas,Davao del Norte,Mun
Tagum*,Davao del Norte,CC
Talaingod,Davao del Norte,Mun
Bansalan,Davao del Sur,Mun
Davao City*,Davao del Sur,HUC
Digos,Davao del Sur,CC
Hagonoy,Davao del Sur,Mun
Kiblawan,Davao del Sur,Mun
Magsaysay,Davao del Sur,Mun
Malalag,Davao del Sur,Mun
Matanao,Davao del Sur,Mun
Padada,Davao del Sur,Mun
Santa Cruz,Davao del Sur,Mun
Sulop,Davao del Sur,Mun
Don Marcelino,Davao Occidental,Mun
Jose Abad Santos,Davao Occidental,Mun
Malita*,Davao Occidental,Mun
Santa Maria,Davao Occidental,Mun
Sarangani,Davao Occidental,Mun
Baganga,Davao Oriental,Mun
Banaybanay,Davao Oriental,Mun
Boston,Davao Oriental,Mun
Caraga,Davao Oriental,Mun
Cateel,Davao Oriental,Mun
Governor Generoso,Davao Oriental,Mun
Lupon,Davao Oriental,Mun
Manay,Davao Oriental,Mun
Mati*,Davao Oriental,CC
San Isidro,Davao Oriental,Mun
Tarragona,Davao Oriental,Mun
Basilisa*,Dinagat Islands,Mun
Cagdianao,Dinagat Islands,Mun
Dinagat,Dinagat Islands,Mun
Libjo,Dinagat Islands,Mun
Loreto,Dinagat Islands,Mun
San Jose,Dinagat Islands,Mun
Tubajon,Dinagat Islands,Mun
Arteche,Eastern Samar,Mun
Balangiga,Eastern Samar,Mun
Balangkayan,Eastern Samar,Mun
Borongan*,Eastern Samar,CC
Can-avid,Eastern Samar,Mun
Dolores,Eastern Samar,Mun
General MacArthur,Eastern Samar,Mun
